model,split_mode,logloss,brier,acc
lr,time,0.6464147478979436,0.22781202772893636,0.6189950303699614
lr,random,0.659561442426273,0.2338658769573992,0.6018145161290323
gbm,time,0.6511191010592106,0.22975359974481316,0.6217559359469906
gbm,random,0.665889837894376,0.23642719048242938,0.5856854838709677
