model,logloss,brier,acc,ece
lr+roster,0.6377053538455457,0.22368207181106323,0.6366648260629486,0.018492760269500794
lr,0.6464147478979436,0.22781202772893636,0.6189950303699614,0.02421686856796476
elo_k32,0.6471923380802123,0.22818672050201746,0.6178906681391496,0.025145525057301846
gbm,0.6511191010592106,0.22975359974481316,0.6217559359469906,0.025546011465480065
gbm_isotonic,0.656002525788143,0.23207573692095793,0.6101601325234677,0.01904477876731717
constant_0.5,0.6931471805599452,0.25,0.5720596355604638,0.0720596355604638
