specification,estimate,se,ci_lo,ci_hi,n,n_treated,n_control
all_teams_net_of_form,0.11108143430813823,0.01710268390980108,0.07756017384492811,0.14460269477134835,18100,1069,17031
tier1_only_net_of_form,0.13723423466332635,0.024166808690247107,0.08986728963044202,0.18460117969621068,8030,523,7507
close_matches_net_of_form,0.17089936203976486,0.02618284380438103,0.11958098818317803,0.2222177358963517,8287,480,7807
