metric,mean,ci_lo,ci_hi,n_folds
logloss,0.6476102737498793,0.6281899039322494,0.6670306435675093,6
brier,0.22816990950862717,0.219577513046746,0.23676230597050835,6
acc,0.6190817723195676,0.5921062430294569,0.6460573016096783,6
