,p_team1
Ancient,0.5261723009814613
Anubis,0.5390243902439025
Dust2,0.5678160919540229
Inferno,0.5435745937961596
Mirage,0.5262563523433089
Nuke,0.5198956294846706
Overpass,0.5781512605042017
Train,0.5435435435435435
Vertigo,0.5500910746812386
