model,split,logloss,brier,acc,n
constant_0.5,test,0.6931471805599453,0.25,0.5585303332383936,3511
elo_k16,test,0.6604760090749844,0.23438575973059636,0.6032469381942467,3511
elo_k32,test,0.6561868977259623,0.23232164280835743,0.606664767872401,3511
elo_k32,train,0.6670962492998095,0.23740754830990599,0.588079263535653,6409
elo_k64,test,0.6649708860364612,0.2349776936519462,0.6120763315294788,3511
elo_k8,test,0.6691110708044897,0.23832343924184693,0.5947023639988607,3511
elo_mapspecific_k32,test,0.6807116400161141,0.24377690761465737,0.5562913907284768,3171
