cutoff,n_train,n_test,logloss,brier,acc
2026-01-01 00:00:00+00:00,8109,1811,0.6377053538455457,0.22368207181106323,0.6366648260629486
2026-02-01 00:00:00+00:00,8425,1495,0.6332592305692162,0.22159428146800447,0.642809364548495
2026-03-01 00:00:00+00:00,8822,1098,0.6374399218076505,0.22362509787102997,0.6320582877959927
2026-04-01 00:00:00+00:00,9200,720,0.6419628491330502,0.22590667794190936,0.6194444444444445
2026-05-01 00:00:00+00:00,9498,422,0.6523185296694646,0.23053549064877976,0.6113744075829384
2026-06-01 00:00:00+00:00,9719,201,0.6829757574743485,0.2436758373109764,0.572139303482587
