team_a,team_b,a_wins,b_wins,n
MIBR,Legacy,3.0,5.0,8
Aurora Gaming,Heroic,4.0,4.0,8
FURIA Esports,Team Vitality,2.0,6.0,8
paiN Gaming,MIBR,3.0,5.0,8
Team Spirit,Heroic,7.0,1.0,8
TYLOO,The Mongolz,3.0,5.0,8
Team 3DMAX,Fnatic,5.0,3.0,8
Bleed Esports,MOUZ NXT,4.0,4.0,8
G2 Esports,FURIA Esports,4.0,4.0,8
Heroic,Aurora Gaming,4.0,4.0,8
GamerLegion,Sinners Esports,4.0,4.0,8
BetBoom Team,GamerLegion,7.0,1.0,8
Heroic,Team Spirit,1.0,7.0,8
Astralis,Heroic,3.0,5.0,8
Ninjas in Pyjamas,Fnatic,4.0,4.0,8
SAW,GamerLegion,5.0,3.0,8
Monte,Sinners Esports,4.0,4.0,8
Team Spirit,Team Liquid,6.0,2.0,8
Aurora Gaming,Astralis,5.0,3.0,8
Heroic,Astralis,5.0,3.0,8
GamerLegion,SAW,3.0,5.0,8
ENCE,PARIVISION,2.0,6.0,8
Virtus.pro,Team Vitality,2.0,6.0,8
Team Vitality,Virtus.pro,6.0,2.0,8
ECSTATIC,Fnatic,3.0,5.0,8
Astralis,Aurora Gaming,3.0,5.0,8
The Mongolz,paiN Gaming,6.0,2.0,8
Team Liquid,Team Spirit,2.0,6.0,8
FURIA Esports,G2 Esports,4.0,4.0,8
PARIVISION,ENCE,6.0,2.0,8
Natus Vincere,Astralis,4.0,4.0,8
9Pandas,SAW,4.0,4.0,8
MIBR,paiN Gaming,5.0,3.0,8
Wildcard Gaming,M80,3.0,5.0,8
paiN Gaming,Astralis,3.0,4.0,7
G2 Esports,Team Liquid,6.0,1.0,7
BetBoom Team,Heroic,4.0,3.0,7
GUN5,Sinners Esports,4.0,3.0,7
Team Spirit,Virtus.pro,5.0,2.0,7
HOTU,BetBoom Team,1.0,6.0,7
Sinners Esports,GUN5,3.0,4.0,7
