team_a,team_b,a_wins,b_wins,n
K27,Oxuji Esports,4.0,1.0,5
Zero Tenacity,PARIVISION,1.0,4.0,5
Fnatic,PARIVISION,2.0,3.0,5
Monte,Team Falcons,1.0,4.0,5
RUBY,Zero Tenacity,3.0,2.0,5
MOUZ NXT,B8 Esports,2.0,3.0,5
Team Spirit,MIBR,4.0,1.0,5
M80,Legacy,2.0,3.0,5
Natus Vincere,paiN Gaming,5.0,0.0,5
SAW,Fnatic,2.0,3.0,5
Alliance,BCGame,3.0,2.0,5
FURIA Esports,9z Team,3.0,2.0,5
M80,FURIA Esports,1.0,4.0,5
BESTIA,9z Team,1.0,4.0,5
Natus Vincere,B8 Esports,5.0,0.0,5
Astralis,The Mongolz,4.0,1.0,5
Heroic,Team Vitality,2.0,3.0,5
Team Falcons,Monte,4.0,1.0,5
paiN Gaming,Sharks Esports,4.0,1.0,5
Rare Atom,The Mongolz,0.0,5.0,5
G2 Esports,BIG,5.0,0.0,5
Complexity,Virtus.pro,2.0,3.0,5
Zero Tenacity,RUBY,2.0,3.0,5
Aurora Gaming,SAW,2.0,3.0,5
Legacy,paiN Gaming,2.0,3.0,5
PARIVISION,Heroic,2.0,3.0,5
Aurora Gaming,B8 Esports,5.0,0.0,5
EYEBALLERS,Alliance,3.0,2.0,5
PARIVISION,Ninjas in Pyjamas,2.0,3.0,5
GamerLegion,B8 Esports,3.0,2.0,5
PARIVISION,Zero Tenacity,4.0,1.0,5
Aurora Gaming,paiN Gaming,4.0,1.0,5
Zero Tenacity,Sashi Esport,4.0,1.0,5
MIBR,9z Team,2.0,3.0,5
CYBERSHOKE Esports,EYEBALLERS,3.0,1.0,4
MOUZ NXT,ALTERNATE aTTaX,3.0,1.0,4
Heroic,Passion UA,4.0,0.0,4
BetBoom Team,Ninjas in Pyjamas,4.0,0.0,4
FURIA Esports,Legacy,1.0,3.0,4
B8 Esports,Legacy,4.0,0.0,4
Alliance,Johnny Speeds,3.0,1.0,4
BIG,Astralis,0.0,4.0,4
ARCRED,500,2.0,2.0,4
500,9Pandas,4.0,0.0,4
Team OverDrive,Team Shadowkek,1.0,3.0,4
GamerLegion,NRG Esports,3.0,1.0,4
Team Falcons,paiN Gaming,2.0,2.0,4
Nemiga Gaming,ARCRED,2.0,2.0,4
BIG,Sinners Esports,2.0,2.0,4
Legacy,PARIVISION,2.0,2.0,4
EYEBALLERS,Team Space,1.0,3.0,4
Preasy Esport,ECSTATIC,1.0,3.0,4
Team Spirit,FlyQuest,4.0,0.0,4
GamerLegion,ENCE,2.0,2.0,4
Sinners Esports,Sashi Esport,1.0,3.0,4
Natus Vincere Junior,OG,2.0,2.0,4
SAW,Zero Tenacity,3.0,1.0,4
Natus Vincere,Heroic,1.0,3.0,4
The Mongolz,Heroic,4.0,0.0,4
EYEBALLERS,CYBERSHOKE Esports,1.0,3.0,4
G2 Esports,Complexity,3.0,1.0,4
Fnatic,AMKAL Esports,3.0,1.0,4
SAW,Monte,3.0,1.0,4
Team Liquid,Virtus.pro,3.0,1.0,4
9Pandas,GUN5,3.0,1.0,4
FAVBET Team,HOTU,2.0,2.0,4
The Mongolz,Complexity,4.0,0.0,4
Legacy,FURIA Esports,3.0,1.0,4
Natus Vincere,Complexity,2.0,2.0,4
PARIVISION,Team Falcons,4.0,0.0,4
FORZE,Aurora Gaming,2.0,2.0,4
ARCRED,FAVBET Team,1.0,3.0,4
ARCRED,Johnny Speeds,2.0,2.0,4
Copenhagen Wolves,Partizan Esports,1.0,3.0,4
RED Canids,MIBR,0.0,4.0,4
HOTU,9INE,2.0,2.0,4
BetBoom Team,Sashi Esport,4.0,0.0,4
Dynamo Eclot,Copenhagen Wolves,2.0,2.0,4
Nexus Gaming,RUBY,1.0,3.0,4
GamerLegion,FURIA Esports,3.0,1.0,4
B8 Esports,BCGame,4.0,0.0,4
1win Team,ARCRED,2.0,2.0,4
Virtus.pro,OG,2.0,2.0,4
Aurora Gaming,Legacy,4.0,0.0,4
Team 3DMAX,Nemiga Gaming,2.0,2.0,4
FUT Esports,G2 Esports,2.0,2.0,4
Sashi Esport,Rebels Gaming,1.0,3.0,4
Virtus.pro,Team Liquid,1.0,3.0,4
MOUZ,Virtus.pro,3.0,1.0,4
9Pandas,9INE,3.0,1.0,4
FORZE,Preasy Esport,1.0,3.0,4
G2 Esports,BetBoom Team,3.0,1.0,4
BetBoom Team,OG,3.0,1.0,4
Nemiga Gaming,B8 Esports,1.0,3.0,4
Aurora Gaming,FORZE,2.0,2.0,4
Sinners Esports,JiJieHao,3.0,1.0,4
Team Spirit Academy,ARCRED,3.0,1.0,4
TEAM NEXT LEVEL,BetBoom Team,1.0,3.0,4
CYBERSHOKE Esports,Nexus Gaming,3.0,1.0,4
Fire Flux Esports,Sashi Esport,2.0,2.0,4
Aurora Gaming,Team Spirit,0.0,4.0,4
9INE,Johnny Speeds,4.0,0.0,4
Heroic,OG,1.0,3.0,4
Cloud9,Team Vitality,1.0,3.0,4
9INE,Gentle Mates,1.0,3.0,4
Passion UA,B8 Esports,0.0,4.0,4
Betera,CYBERSHOKE Esports,3.0,1.0,4
WW Team,ARCRED,1.0,3.0,4
FAVBET Team,Oramond,3.0,1.0,4
OG,Virtus.pro,2.0,2.0,4
NRG Esports,Wildcard Gaming,0.0,4.0,4
FURIA Esports,Imperial Esports,4.0,0.0,4
GamerLegion,Natus Vincere,0.0,4.0,4
Team Spirit,Aurora Gaming,4.0,0.0,4
Legacy,Aurora Gaming,0.0,4.0,4
FlyQuest,Legacy,2.0,2.0,4
Team Vitality,Cloud9,3.0,1.0,4
Monte,Virtus.pro,1.0,3.0,4
Lynn Vision Gaming,Team 3DMAX,2.0,2.0,4
ESC Gaming,RUBY,1.0,3.0,4
Legacy,FlyQuest,2.0,2.0,4
Betclic,Sashi Esport,1.0,3.0,4
JiJieHao,Onyx Ravens,2.0,2.0,4
Passion UA,Monte,0.0,4.0,4
Aurora Gaming,BetBoom Team,3.0,1.0,4
Sashi Esport,Eternal Fire,3.0,1.0,4
Team 3DMAX,Natus Vincere,2.0,2.0,4
Nemiga Gaming,Heroic,3.0,1.0,4
Legacy,Team 3DMAX,3.0,1.0,4
Dynamo Eclot,Nexus Gaming,3.0,1.0,4
Passion UA,Ninjas in Pyjamas,1.0,3.0,4
Astralis,Team Liquid,2.0,2.0,4
FAVBET Team,ARCRED,3.0,1.0,4
FaZe Clan,FlyQuest,4.0,0.0,4
Ninjas in Pyjamas,Passion UA,3.0,1.0,4
PARIVISION,Natus Vincere Junior,2.0,2.0,4
B8 Esports,OG,3.0,1.0,4
Sinners Esports,CYBERSHOKE Esports,2.0,2.0,4
Team Spirit Academy,BetBoom Team,1.0,3.0,4
Sashi Esport,Sinners Esports,3.0,1.0,4
Zero Tenacity,Alliance,1.0,3.0,4
9INE,ENCE,1.0,3.0,4
FURIA Esports,GamerLegion,1.0,3.0,4
Passion UA,Heroic,0.0,4.0,4
500,GUN5,1.0,3.0,4
GUN5,500,3.0,1.0,4
BIG,Complexity,2.0,2.0,4
Zero Tenacity,DMS,4.0,0.0,4
PARIVISION,Astralis,1.0,3.0,4
Natus Vincere Junior,PARIVISION,2.0,2.0,4
FlyQuest,TYLOO,0.0,4.0,4
EYEBALLERS,ECSTATIC,1.0,3.0,4
Sinners Esports,Natus Vincere Junior,2.0,2.0,4
ECSTATIC,ENCE,1.0,3.0,4
ENCE,9INE,3.0,1.0,4
Metizport,Ninjas in Pyjamas,1.0,3.0,4
Johnny Speeds,9INE,0.0,4.0,4
DMS,EYEBALLERS,2.0,2.0,4
Metizport,Monte,3.0,1.0,4
Oramond,FAVBET Team,1.0,3.0,4
Ninjas in Pyjamas,Monte,1.0,3.0,4
Monte,GamerLegion,2.0,2.0,4
WW Team,Nemiga Gaming,3.0,1.0,4
Grayhound Gaming,Bad News Kangaroos,3.0,1.0,4
RED Canids,9z Team,1.0,3.0,4
Rebels Gaming,Passion UA,2.0,2.0,4
AMKAL Esports,Monte,3.0,1.0,4
CYBERSHOKE Esports,Sinners Esports,2.0,2.0,4
Team Spirit Academy,Nemiga Gaming,2.0,2.0,4
Preasy Esport,FORZE,3.0,1.0,4
Sangal Esports,Alliance,1.0,3.0,4
NRG Esports,GamerLegion,1.0,3.0,4
Team 3DMAX,Virtus.pro,2.0,2.0,4
OG,B8 Esports,1.0,3.0,4
B8 Esports,Passion UA,4.0,0.0,4
Ninjas in Pyjamas,OG,2.0,2.0,4
Complexity,Natus Vincere,2.0,2.0,4
Zero Tenacity,SAW,1.0,3.0,4
Virtus.pro,Natus Vincere,1.0,3.0,4
Nouns Esports,Legacy,0.0,4.0,4
Nuclear TigeRES,ARCRED,1.0,3.0,4
SAW,FURIA Esports,3.0,1.0,4
EYEBALLERS,BetBoom Team,2.0,2.0,4
Astralis,BetBoom Team,4.0,0.0,4
Monte,Ninjas in Pyjamas,3.0,1.0,4
paiN Gaming,Fluxo,3.0,1.0,4
B8 Esports,Ninjas in Pyjamas,2.0,2.0,4
RUBY,ESC Gaming,3.0,1.0,4
Dynamo Eclot,Monte,2.0,2.0,4
Dynamo Eclot,Zero Tenacity,3.0,1.0,4
CYBERSHOKE Esports,B8 Esports,2.0,2.0,4
ENCE,ECSTATIC,3.0,1.0,4
Monte,Passion UA,4.0,0.0,4
9z Team,Team Spirit,1.0,3.0,4
Passion UA,GamerLegion,0.0,4.0,4
ARCRED,Nemiga Gaming,2.0,2.0,4
Sashi Esport,BetBoom Team,0.0,4.0,4
BIG,paiN Gaming,1.0,3.0,4
Legacy,Imperial Esports,2.0,2.0,4
Virtus.pro,Monte,3.0,1.0,4
HOTU,RUBY,4.0,0.0,4
BIG,SAW,3.0,1.0,4
Astralis,PARIVISION,3.0,1.0,4
ARCRED,Team Spirit Academy,1.0,3.0,4
Nemiga Gaming,Permitta Esports,2.0,2.0,4
Team 3DMAX,Lynn Vision Gaming,2.0,2.0,4
Astralis,TYLOO,0.0,4.0,4
9INE,500,1.0,3.0,4
9INE,HOTU,2.0,2.0,4
ECSTATIC,Monte,3.0,1.0,4
paiN Gaming,B8 Esports,2.0,2.0,4
B8 Esports,CYBERSHOKE Esports,2.0,2.0,4
Team Spirit,9z Team,3.0,1.0,4
BESTIA,M80,3.0,1.0,4
BetBoom Team,9INE,3.0,1.0,4
Eternal Fire,MIBR,4.0,0.0,4
ECSTATIC,GUN5,2.0,2.0,4
Team CS2NEWS,Team Shadowkek,1.0,3.0,4
Aurora Gaming,Eternal Fire,2.0,2.0,4
Complexity,M80,2.0,2.0,4
Complexity,G2 Esports,1.0,3.0,4
BetBoom Team,G2 Esports,1.0,3.0,4
Nemiga Gaming,Team 3DMAX,2.0,2.0,4
GamerLegion,Passion UA,4.0,0.0,4
FlyQuest,Team Spirit,0.0,4.0,4
ESC Gaming,Nexus Gaming,3.0,1.0,4
RUBY,HOTU,0.0,4.0,4
Zero Tenacity,Partizan Esports,2.0,2.0,4
Passion UA,Team 3DMAX,2.0,2.0,4
9INE,Alliance,1.0,3.0,4
Nemiga Gaming,Team Spirit Academy,2.0,2.0,4
Ninjas in Pyjamas,BetBoom Team,0.0,4.0,4
500,9INE,3.0,1.0,4
Nexus Gaming,ENCE,1.0,3.0,4
9Pandas,PARIVISION,1.0,3.0,4
Team Liquid,Astralis,2.0,2.0,4
Eternal Fire,Sashi Esport,1.0,3.0,4
Aurora Gaming,Ninjas in Pyjamas,4.0,0.0,4
Metizport,Aurora Gaming,0.0,4.0,4
Monte,SAW,1.0,3.0,4
FURIA Esports,Complexity,3.0,1.0,4
Virtus.pro,Team 3DMAX,2.0,2.0,4
Apeks,FURIA Esports,2.0,2.0,4
Complexity,The Mongolz,0.0,4.0,4
Virtus.pro,The Mongolz,3.0,1.0,4
GamerLegion,Heroic,2.0,2.0,4
MOUZ,Heroic,4.0,0.0,4
Sprout,ALTERNATE aTTaX,2.0,2.0,4
Sharks Esports,Imperial Esports,1.0,3.0,4
500,Sinners Esports,1.0,3.0,4
Heroic,Nemiga Gaming,1.0,3.0,4
9INE,GUN5,3.0,1.0,4
Aurora Gaming,Metizport,4.0,0.0,4
OG,BetBoom Team,1.0,3.0,4
Nemiga Gaming,WW Team,1.0,3.0,4
paiN Gaming,TYLOO,3.0,1.0,4
ECSTATIC,500,3.0,1.0,4
ARCRED,Nuclear TigeRES,3.0,1.0,4
GUN5,9Pandas,1.0,3.0,4
Johnny Speeds,Alliance,1.0,3.0,4
9z Team,The Mongolz,1.0,3.0,4
CYBERSHOKE Esports,Passion UA,2.0,2.0,4
HOTU,FAVBET Team,2.0,2.0,4
Fluxo,RED Canids,1.0,3.0,4
SAW,BIG,1.0,3.0,4
B8 Esports,SAW,1.0,3.0,4
B8 Esports,paiN Gaming,2.0,2.0,4
OG,Heroic,3.0,1.0,4
Natus Vincere,Team 3DMAX,2.0,2.0,4
Fnatic,9INE,3.0,1.0,4
9INE,Passion UA,4.0,0.0,4
FURIA Esports,SAW,1.0,3.0,4
BetBoom Team,Team Spirit Academy,3.0,1.0,4
Heroic,The Mongolz,0.0,4.0,4
Sashi Esport,Nemiga Gaming,0.0,4.0,4
CYBERSHOKE Esports,GUN5,1.0,3.0,4
BCGame,BIG,2.0,2.0,4
Nemiga Gaming,9Pandas,3.0,1.0,4
TYLOO,FlyQuest,4.0,0.0,4
Monte,Dynamo Eclot,2.0,2.0,4
BetBoom Team,BIG,4.0,0.0,4
PARIVISION,OG,2.0,2.0,4
Complexity,BIG,2.0,2.0,4
BetBoom Team,Aurora Gaming,1.0,3.0,4
OG,Ninjas in Pyjamas,2.0,2.0,4
Ninjas in Pyjamas,Metizport,3.0,1.0,4
The Mongolz,9z Team,3.0,1.0,4
Complexity,Team Falcons,2.0,2.0,4
9INE,BetBoom Team,1.0,3.0,4
Bad News Kangaroos,Grayhound Gaming,1.0,3.0,4
G2 Esports,FUT Esports,2.0,2.0,4
ECSTATIC,Preasy Esport,3.0,1.0,4
Zero Tenacity,Permitta Esports,3.0,1.0,4
Team Sampi,B8 Esports,1.0,3.0,4
GamerLegion,Monte,2.0,2.0,4
Dynamo Eclot,BetBoom Team,0.0,4.0,4
AMKAL Esports,B8 Esports,3.0,1.0,4
Alliance,9INE,3.0,1.0,4
G2 Esports,Aurora Gaming,1.0,3.0,4
Heroic,GamerLegion,2.0,2.0,4
Wildcard Gaming,NRG Esports,4.0,0.0,4
Alliance,Sangal Esports,3.0,1.0,4
Natus Vincere,Virtus.pro,3.0,1.0,4
paiN Gaming,BIG,3.0,1.0,4
EYEBALLERS,GUN5,2.0,2.0,4
Monte,Partizan Esports,1.0,3.0,4
Fluxo,paiN Gaming,1.0,3.0,4
ARCRED,1win Team,2.0,2.0,4
AMKAL Esports,Fnatic,1.0,3.0,4
ALTERNATE aTTaX,MOUZ NXT,1.0,3.0,4
The Mongolz,Virtus.pro,1.0,3.0,4
Nexus Gaming,CYBERSHOKE Esports,1.0,3.0,4
9INE,Fnatic,1.0,3.0,4
Natus Vincere Junior,ENCE,4.0,0.0,4
ENCE,Nexus Gaming,3.0,1.0,4
Legacy,Nouns Esports,4.0,0.0,4
Sashi Esport,CYBERSHOKE Esports,3.0,1.0,4
Johnny Speeds,ARCRED,2.0,2.0,4
GUN5,ECSTATIC,2.0,2.0,4
Heroic,Natus Vincere,3.0,1.0,4
Sinners Esports,Gaimin Gladiators,0.0,4.0,4
paiN Gaming,Team Falcons,2.0,2.0,4
Astralis,Ninjas in Pyjamas,2.0,2.0,4
ECSTATIC,EYEBALLERS,3.0,1.0,4
Ninjas in Pyjamas,B8 Esports,2.0,2.0,4
M80,BESTIA,1.0,3.0,4
paiN Gaming,9z Team,3.0,1.0,4
Natus Vincere,GamerLegion,4.0,0.0,4
Team Shadowkek,Team OverDrive,3.0,1.0,4
GUN5,EYEBALLERS,2.0,2.0,4
DMS,Zero Tenacity,0.0,4.0,4
RUBY,Nexus Gaming,3.0,1.0,4
Team Space,EYEBALLERS,3.0,1.0,4
ENCE,GamerLegion,2.0,2.0,4
BIG,BCGame,2.0,2.0,4
ENCE,Natus Vincere Junior,0.0,4.0,4
Virtus.pro,MOUZ,1.0,3.0,4
Zero Tenacity,Dynamo Eclot,1.0,3.0,4
G2 Esports,Eternal Fire,1.0,3.0,4
Onyx Ravens,JiJieHao,2.0,2.0,4
Permitta Esports,Zero Tenacity,1.0,3.0,4
Complexity,FURIA Esports,1.0,3.0,4
MIBR,Eternal Fire,0.0,4.0,4
FURIA Esports,Apeks,2.0,2.0,4
FURIA Esports,FaZe Clan,1.0,3.0,4
9Pandas,Nemiga Gaming,1.0,3.0,4
500,ARCRED,2.0,2.0,4
500,Dynamo Eclot,4.0,0.0,4
Heroic,paiN Gaming,1.0,3.0,4
FlyQuest,FaZe Clan,0.0,4.0,4
B8 Esports,AMKAL Esports,1.0,3.0,4
Passion UA,Rebels Gaming,2.0,2.0,4
Monte,AMKAL Esports,1.0,3.0,4
Team Falcons,Complexity,2.0,2.0,4
M80,Complexity,2.0,2.0,4
Permitta Esports,Nemiga Gaming,2.0,2.0,4
Eternal Fire,FAVBET Team,0.0,4.0,4
OG,PARIVISION,2.0,2.0,4
Team Space,FORZE,1.0,3.0,4
GUN5,CYBERSHOKE Esports,3.0,1.0,4
Ninjas in Pyjamas,Astralis,2.0,2.0,4
Monte,Metizport,1.0,3.0,4
Passion UA,CYBERSHOKE Esports,2.0,2.0,4
BIG,BetBoom Team,0.0,4.0,4
CYBERSHOKE Esports,Betera,1.0,3.0,4
CYBERSHOKE Esports,Sashi Esport,1.0,3.0,4
Sashi Esport,Betclic,3.0,1.0,4
BetBoom Team,EYEBALLERS,2.0,2.0,4
Gaimin Gladiators,AMKAL Esports,2.0,2.0,4
Team 3DMAX,Passion UA,2.0,2.0,4
Alliance,Zero Tenacity,3.0,1.0,4
Imperial Esports,Sharks Esports,3.0,1.0,4
Partizan Esports,Zero Tenacity,2.0,2.0,4
Partizan Esports,Monte,3.0,1.0,4
FUT Esports,BetBoom Team,2.0,2.0,4
FaZe Clan,FURIA Esports,3.0,1.0,4
Legacy,B8 Esports,0.0,4.0,4
Sinners Esports,500,3.0,1.0,4
BetBoom Team,FUT Esports,2.0,2.0,4
Sinners Esports,BIG,2.0,2.0,4
Nexus Gaming,ESC Gaming,1.0,3.0,4
Heroic,MOUZ,0.0,4.0,4
Team Falcons,PARIVISION,0.0,4.0,4
EYEBALLERS,DMS,2.0,2.0,4
paiN Gaming,Heroic,3.0,1.0,4
9Pandas,500,0.0,4.0,4
Copenhagen Wolves,Dynamo Eclot,2.0,2.0,4
ALTERNATE aTTaX,Into The Breach,1.0,3.0,4
1win Team,Sangal Esports,1.0,3.0,4
RED Canids,Fluxo,3.0,1.0,4
OG,ENCE,3.0,1.0,4
Dynamo Eclot,500,0.0,4.0,4
Natus Vincere Junior,Sinners Esports,2.0,2.0,4
Eternal Fire,G2 Esports,3.0,1.0,4
TYLOO,Astralis,4.0,0.0,4
SAW,B8 Esports,3.0,1.0,4
The Mongolz,B8 Esports,3.0,1.0,4
Partizan Esports,Copenhagen Wolves,3.0,1.0,4
BCGame,B8 Esports,0.0,4.0,4
FORZE,Team Space,3.0,1.0,4
9INE,9Pandas,1.0,3.0,4
Monte,ECSTATIC,1.0,3.0,4
ARCRED,WW Team,3.0,1.0,4
PARIVISION,Legacy,2.0,2.0,4
AMKAL Esports,Gaimin Gladiators,2.0,2.0,4
JiJieHao,Sinners Esports,1.0,3.0,4
Metizport,BetBoom Team,1.0,3.0,4
Aurora Gaming,G2 Esports,3.0,1.0,4
Team 3DMAX,Legacy,1.0,3.0,4
Ninjas in Pyjamas,Aurora Gaming,0.0,4.0,4
Passion UA,9INE,0.0,4.0,4
Insilio,Permitta Esports,3.0,1.0,4
BetBoom Team,Metizport,3.0,1.0,4
BetBoom Team,TEAM NEXT LEVEL,3.0,1.0,4
Sashi Esport,Fire Flux Esports,2.0,2.0,4
Team Vitality,9z Team,2.0,2.0,4
Team Shadowkek,Team CS2NEWS,3.0,1.0,4
Monte,Betclic,3.0,1.0,4
GUN5,9INE,1.0,3.0,4
9INE,Iberian Soul,1.0,3.0,4
9z Team,RED Canids,3.0,1.0,4
Permitta Esports,Insilio,1.0,3.0,4
B8 Esports,The Mongolz,1.0,3.0,4
Astralis,BIG,4.0,0.0,4
Sangal Esports,1win Team,3.0,1.0,4
Nemiga Gaming,Sashi Esport,4.0,0.0,4
9z Team,paiN Gaming,1.0,3.0,4
Eternal Fire,Aurora Gaming,2.0,2.0,4
MIBR,RED Canids,4.0,0.0,4
BetBoom Team,Astralis,0.0,4.0,4
Rebels Gaming,Sashi Esport,3.0,1.0,4
9z Team,Team Vitality,2.0,2.0,4
B8 Esports,Nemiga Gaming,3.0,1.0,4
Imperial Esports,Legacy,2.0,2.0,4
BetBoom Team,Dynamo Eclot,4.0,0.0,4
Imperial Esports,FURIA Esports,0.0,4.0,4
Gaimin Gladiators,Sinners Esports,4.0,0.0,4
Nexus Gaming,Dynamo Eclot,1.0,3.0,4
ENCE,OG,1.0,3.0,4
OG,Natus Vincere Junior,2.0,2.0,4
ALTERNATE aTTaX,Sprout,2.0,2.0,4
Iberian Soul,9INE,3.0,1.0,4
B8 Esports,Team Sampi,3.0,1.0,4
Betclic,Monte,1.0,3.0,4
FAVBET Team,Eternal Fire,4.0,0.0,4
Gentle Mates,9INE,3.0,1.0,4
TYLOO,paiN Gaming,1.0,3.0,4
PARIVISION,9Pandas,3.0,1.0,4
500,ECSTATIC,1.0,3.0,4
Into The Breach,ALTERNATE aTTaX,3.0,1.0,4
