model,logloss,brier,acc,ece
lr,0.6464147478979436,0.2278120277289363,0.6189950303699614,0.0242168685679647
elo_k32,0.6471923380802123,0.2281867205020174,0.6178906681391496,0.0251455250573018
gbm,0.6511191010592106,0.2297535997448131,0.6217559359469906,0.02554601146548
gbm_isotonic,0.656002525788143,0.2320757369209579,0.6101601325234677,0.0190447787673171
constant_0.5,0.6931471805599452,0.25,0.5720596355604638,0.0720596355604638
dl_embedding,0.6631815914981393,0.23489186508825813,0.605190502484815,
